scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,4450001,4500000,4477378,350,99,0.4815,1.537,-0.5229,-0.1584,-0.0884
Z,4500001,4550000,4527018,430,184,2.9047,0.3025,0.8114,0.0993,0.0592
Z,4550001,4600000,4576781,513,169,7.5851,0.0,1.0,0.2409,0.1877
Z,4600001,4650000,4624943,524,158,4.4826,0.0093,0.9959,0.1737,0.1541
Z,4650001,4700000,4673376,544,176,0.8079,0.4926,0.2425,0.0125,0.0099
Z,4700001,4750000,4725266,419,103,0.6945,0.1393,0.666,0.0325,0.0274
Z,4750001,4800000,4775153,402,119,2.1296,0.0,1.0,0.0807,0.0701
Z,4800001,4850000,4825677,430,125,3.7042,0.2269,0.8846,0.1256,0.105
Z,4850001,4900000,4874219,503,87,2.3583,0.0,1.0,0.063,0.0614
Z,4900001,4950000,4926060,398,136,0.0,0.025,-1.0,-0.0017,-0.0006
Z,4950001,5000000,4975125,388,142,1.2361,5.2662,-0.6198,-0.1818,-0.0911
Z,5000001,5050000,5027455,420,131,1.2474,5.6317,-0.6373,-0.1319,-0.0783
Z,5050001,5100000,5075484,402,80,0.0895,0.608,-0.7434,-0.039,-0.0204
Z,5100001,5150000,5126434,384,81,0.063,0.0148,0.619,0.0024,0.002
Z,5150001,5200000,5174475,412,87,5.6779,0.1562,0.9464,0.2409,0.1875
Z,5200001,5250000,5224295,448,136,3.1139,2.2292,0.1656,0.0161,0.01
Z,5250001,5300000,5274767,448,126,1.5081,0.0,1.0,0.0417,0.0211
Z,5300001,5350000,5325387,515,243,6.4884,1.6667,0.5913,0.0645,0.0489
Z,5350001,5400000,5375265,391,153,0.311,0.3457,-0.0529,-0.0017,-0.0007
Z,5400001,5450000,5424451,523,179,2.5539,1.0046,0.4354,0.1195,0.022
Z,5450001,5500000,5474488,324,121,3.7125,0.1584,0.9181,0.1983,0.1414
Z,5500001,5550000,5525862,332,137,4.5774,0.0,1.0,0.2141,0.1911
Z,5550001,5600000,5576355,353,143,2.5108,0.0249,0.9804,0.2124,0.0884
Z,5600001,5650000,5623334,322,112,1.4074,0.0,1.0,0.1442,0.0436
Z,5650001,5700000,5677180,438,188,0.8365,0.2232,0.5787,0.0832,0.0238
Z,5700001,5750000,5725579,435,180,0.5,0.0,1.0,0.1039,0.0212
Z,5750001,5800000,5775319,401,213,0.2685,6.9352,-0.9254,-0.0886,-0.062
Z,5800001,5850000,5824927,353,143,1.1296,8.6204,-0.7683,-0.2607,-0.1458
Z,5850001,5900000,5874900,492,236,3.788,0.4737,0.7777,0.1593,0.0907
Z,5900001,5950000,5927217,381,134,12.0833,0.0,1.0,0.4862,0.2325
Z,5950001,6000000,5975396,346,140,17.4226,0.3472,0.9609,0.4834,0.2722
Z,6000001,6050000,6026243,367,139,17.6929,0.7346,0.9203,0.5446,0.2881
Z,6050001,6100000,6072314,418,158,17.5942,0.7778,0.9153,0.4327,0.1954
Z,6100001,6150000,6126238,365,137,10.3267,7.1316,0.183,0.1216,0.0708
Z,6150001,6200000,6174532,400,157,2.2654,6.7654,-0.4983,-0.3859,-0.1783
Z,6200001,6250000,6225515,293,86,4.811,6.3873,-0.1408,-0.1211,-0.0761
Z,6250001,6300000,6274504,399,165,3.7603,5.4822,-0.1863,-0.1614,-0.0697
Z,6300001,6350000,6325515,527,210,2.0648,19.8817,-0.8118,-2.9003,-0.4545
Z,6350001,6400000,6374766,546,221,1.3616,10.3212,-0.7669,-0.999,-0.3694
Z,6400001,6450000,6426316,490,178,1.607,29.8153,-0.8977,-3.0883,-0.6874
Z,6450001,6500000,6474925,487,193,9.3413,5.6422,0.2469,0.177,0.1015
Z,6500001,6550000,6525415,514,167,7.9272,7.7513,0.0112,0.0248,0.0074
Z,6550001,6600000,6575046,588,200,3.1394,11.4357,-0.5692,-2.3095,-0.3029
Z,6600001,6650000,6625049,539,186,2.5401,5.8086,-0.3915,-0.3016,-0.0676
Z,6650001,6700000,6676264,514,202,16.8503,5.8272,0.4861,0.4683,0.2315
Z,6700001,6750000,6725622,666,205,20.0622,9.2011,0.3712,0.4232,0.1761
Z,6750001,6800000,6774496,559,167,5.63,4.6862,0.0915,0.0499,0.0239
Z,6800001,6850000,6822411,513,136,4.8704,2.6574,0.294,0.2356,0.104
Z,6850001,6900000,6877240,433,153,4.133,6.3598,-0.2122,-0.1346,-0.0708
Z,6900001,6950000,6923745,621,243,12.1908,5.7434,0.3595,0.2378,0.1331
Z,6950001,7000000,6975198,550,220,6.5571,2.3025,0.4802,0.1378,0.0689
Z,7000001,7050000,7026642,694,218,4.258,10.3066,-0.4153,-0.3726,-0.1257
Z,7050001,7100000,7075372,576,197,10.3781,2.1512,0.6566,0.34,0.1873
Z,7100001,7150000,7125015,815,295,15.0592,3.6984,0.6057,0.2894,0.1563
Z,7150001,7200000,7173291,644,185,13.8947,11.4942,0.0945,0.0502,0.0375
Z,7200001,7250000,7226349,636,235,7.7212,14.2235,-0.2963,-0.2227,-0.0804
Z,7250001,7300000,7276278,746,316,9.0869,10.9249,-0.0918,-0.0706,-0.0298
Z,7300001,7350000,7325518,747,304,5.1111,9.3889,-0.295,-0.1399,-0.0674
Z,7350001,7400000,7363350,312,102,2.9437,3.534,-0.0911,-0.0634,-0.0349
Z,7400001,7450000,7431437,336,162,16.1152,7.6434,0.3566,0.3207,0.2283
Z,7450001,7500000,7475238,601,236,7.055,5.1939,0.1519,0.0952,0.0377
Z,7500001,7550000,7525349,570,307,5.6647,9.6801,-0.2617,-0.1938,-0.1095
Z,7550001,7600000,7574853,742,350,5.661,20.5406,-0.5679,-0.5209,-0.2205
Z,7600001,7650000,7627006,883,346,8.8611,18.3914,-0.3497,-0.1904,-0.1182
Z,7650001,7700000,7675572,1033,362,10.1745,22.6135,-0.3794,-0.4267,-0.1661
Z,7700001,7750000,7723695,950,343,7.0926,35.1579,-0.6643,-1.7625,-0.3146
Z,7750001,7800000,7775867,697,206,1.3704,21.838,-0.8819,-2.4237,-0.5478
Z,7800001,7850000,7823560,831,247,1.5845,21.3877,-0.8621,-0.7621,-0.2865
Z,7850001,7900000,7876106,913,337,3.4202,14.4797,-0.6179,-0.856,-0.237
Z,7900001,7950000,7923603,760,277,7.0804,17.2325,-0.4176,-0.4297,-0.2022
Z,7950001,8000000,7975117,898,321,14.7208,15.291,-0.019,-0.0097,-0.0065
Z,8000001,8050000,8024520,792,322,7.2338,32.6389,-0.6372,-0.918,-0.2606
