scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,5600001,5650000,5623334,322,122,6.9775,1.3193,0.682,0.2093,0.1854
Z,5650001,5700000,5677180,438,192,21.4537,0.494,0.955,0.4609,0.4121
Z,5700001,5750000,5725579,435,187,17.0046,1.1736,0.8709,0.7278,0.5614
Z,5750001,5800000,5775319,401,136,26.7203,0.0802,0.994,0.8868,0.7723
Z,5800001,5850000,5824927,353,125,11.7032,2.1242,0.6928,0.4187,0.3661
Z,5850001,5900000,5874900,492,246,1.9375,2.536,-0.1338,-0.0247,-0.0191
Z,5900001,5950000,5927217,381,136,8.1667,0.7006,0.842,0.2571,0.2423
Z,5950001,6000000,5975396,346,141,9.4146,0.1771,0.9631,0.3131,0.2945
Z,6000001,6050000,6026243,367,141,15.5259,0.2121,0.973,0.5586,0.4043
Z,6050001,6100000,6072314,418,160,44.9697,0.0,1.0,0.9657,0.7846
Z,6100001,6150000,6126238,365,143,14.9622,1.9865,0.7656,0.4563,0.3534
Z,6150001,6200000,6174532,400,169,1.8351,3.6932,-0.3361,-0.1199,-0.0895
Z,6200001,6250000,6225515,293,104,1.358,3.9799,-0.4912,-0.2856,-0.1843
Z,6250001,6300000,6274504,399,177,4.0291,1.1906,0.5438,0.1761,0.1449
Z,6300001,6350000,6325515,527,217,8.4832,3.7325,0.3889,0.1405,0.1148
Z,6350001,6400000,6374766,546,233,7.3893,3.0736,0.4125,0.214,0.1463
Z,6400001,6450000,6426316,490,187,18.383,7.6777,0.4108,0.3087,0.264
Z,6450001,6500000,6474925,487,194,9.2298,8.4682,0.043,0.0302,0.0206
Z,6500001,6550000,6525415,514,168,13.6583,9.5877,0.1751,0.1724,0.0968
Z,6550001,6600000,6575046,588,206,19.5134,3.1712,0.7204,0.3902,0.3509
Z,6600001,6650000,6625049,539,199,8.1746,3.961,0.3472,0.1217,0.1005
Z,6650001,6700000,6676264,514,206,11.5398,5.0111,0.3945,0.1417,0.0921
Z,6700001,6750000,6725622,666,215,22.4931,6.3063,0.5621,0.2717,0.1935
Z,6750001,6800000,6774496,559,167,5.9573,2.0622,0.4857,0.102,0.0846
Z,6800001,6850000,6822411,513,137,1.6332,8.4234,-0.6752,-0.1742,-0.1335
Z,6850001,6900000,6877240,433,152,5.446,5.0652,0.0362,0.0128,0.0084
Z,6900001,6950000,6923745,621,243,11.4698,3.2464,0.5588,0.2251,0.1799
Z,6950001,7000000,6975198,550,221,2.7716,6.0328,-0.3704,-0.0864,-0.0562
Z,7000001,7050000,7026642,694,244,10.6898,6.4491,0.2474,0.1042,0.0778
